Q1_0,Q1_1,Q2,Q3,Q4,Q5,Predicted Segment,Prediction Score
Satisfied,Satisfied,I Agree,Mostly Efficacy,I have limited to no experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.83
Satisfied,Satisfied,I Agree,Mostly Efficacy,I have limited to no experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,1
Satisfied,Satisfied,I Agree,Mostly Efficacy,I have experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.83
Satisfied,Satisfied,I Agree,Mostly Efficacy,I have experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,1
Satisfied,Satisfied,I Agree,"Balance of Efficacy, Safety, Dosing",I have limited to no experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.83
Satisfied,Satisfied,I Agree,"Balance of Efficacy, Safety, Dosing",I have limited to no experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,1
Satisfied,Satisfied,I Agree,"Balance of Efficacy, Safety, Dosing",I have experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.83
Satisfied,Satisfied,I Agree,"Balance of Efficacy, Safety, Dosing",I have experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,1
Satisfied,Satisfied,I Agree,Mostly Dosing,I have limited to no experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.5
Satisfied,Satisfied,I Agree,Mostly Dosing,I have limited to no experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,0.5
Satisfied,Satisfied,I Agree,Mostly Dosing,I have experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.5
Satisfied,Satisfied,I Agree,Mostly Dosing,I have experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,0.5
Satisfied,Satisfied,I Am Neutral,Mostly Efficacy,I have limited to no experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.83
Satisfied,Satisfied,I Am Neutral,Mostly Efficacy,I have limited to no experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,1
Satisfied,Satisfied,I Am Neutral,Mostly Efficacy,I have experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.83
Satisfied,Satisfied,I Am Neutral,Mostly Efficacy,I have experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,1
Satisfied,Satisfied,I Am Neutral,"Balance of Efficacy, Safety, Dosing",I have limited to no experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.83
Satisfied,Satisfied,I Am Neutral,"Balance of Efficacy, Safety, Dosing",I have limited to no experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,1
Satisfied,Satisfied,I Am Neutral,"Balance of Efficacy, Safety, Dosing",I have experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.83
Satisfied,Satisfied,I Am Neutral,"Balance of Efficacy, Safety, Dosing",I have experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,1
Satisfied,Satisfied,I Am Neutral,Mostly Dosing,I have limited to no experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.5
Satisfied,Satisfied,I Am Neutral,Mostly Dosing,I have limited to no experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,0.5
Satisfied,Satisfied,I Am Neutral,Mostly Dosing,I have experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.5
Satisfied,Satisfied,I Am Neutral,Mostly Dosing,I have experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,0.5
Satisfied,Satisfied,I Disagree,Mostly Efficacy,I have limited to no experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.83
Satisfied,Satisfied,I Disagree,Mostly Efficacy,I have limited to no experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,1
Satisfied,Satisfied,I Disagree,Mostly Efficacy,I have experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.83
Satisfied,Satisfied,I Disagree,Mostly Efficacy,I have experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,1
Satisfied,Satisfied,I Disagree,"Balance of Efficacy, Safety, Dosing",I have limited to no experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.83
Satisfied,Satisfied,I Disagree,"Balance of Efficacy, Safety, Dosing",I have limited to no experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,1
Satisfied,Satisfied,I Disagree,"Balance of Efficacy, Safety, Dosing",I have experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.83
Satisfied,Satisfied,I Disagree,"Balance of Efficacy, Safety, Dosing",I have experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,1
Satisfied,Satisfied,I Disagree,Mostly Dosing,I have limited to no experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.5
Satisfied,Satisfied,I Disagree,Mostly Dosing,I have limited to no experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,0.5
Satisfied,Satisfied,I Disagree,Mostly Dosing,I have experience prescribing Zolgensma IV,Yes my institute is capable in administering Gene Therapy,Early Adopter,0.5
Satisfied,Satisfied,I Disagree,Mostly Dosing,I have experience prescribing Zolgensma IV,No my institute is not capable of administering Gene Therapy,Early Adopter,0.5
